,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds),pulsetime/2 in seconds,Distance Estimate in cm,Actual In cm
1205,1.76E+15,32826488,1111,0.0005555,20.2018685,20
1206,1.76E+15,32850780,1117,0.0005585,20.3109695,20
1207,1.76E+15,32875080,1117,0.0005585,20.3109695,20
1208,1.76E+15,32899376,1117,0.0005585,20.3109695,20
1209,1.76E+15,32923680,1117,0.0005585,20.3109695,20
1210,1.76E+15,32947972,1117,0.0005585,20.3109695,20
1211,1.76E+15,32972264,1117,0.0005585,20.3109695,20
1212,1.76E+15,32996564,1117,0.0005585,20.3109695,20
1213,1.76E+15,33020860,1117,0.0005585,20.3109695,20
1214,1.76E+15,33045172,1136,0.000568,20.656456,20
1215,1.76E+15,33069484,1136,0.000568,20.656456,20
